US_MH,lat,lon
324,39.01626851,-77.36901715
325,39.01479236,-77.36948174
400,39.045697,-77.27547184
401,39.04517324,-77.27337218
402,39.04366706,-77.27036394
403,39.04227749,-77.2675823
404,39.04387752,-77.26521705
405,39.04387752,-77.26521705
406,39.04330666,-77.26200219
407,39.04378753,-77.26043105
408,39.04816854,-77.28041059
409,39.05177809,-77.28514621
410,39.05501608,-77.29051276
411,39.05818961,-77.29502212
412,39.05932752,-77.29870767
413,39.0598125,-77.30266968
414,39.06002204,-77.30670566
417,39.05915008,-77.31198189
418,39.06251204,-77.31840091
419,39.06498571,-77.32049306
420,39.0667761,-77.32279145
421,39.06854423,-77.32556848
422,39.06880506,-77.32880982
423,39.0686511,-77.33253579
424,39.06905681,-77.33602553
425,39.0694864,-77.33974068
