route,labor_hour,$ cost
1,403.0,60450.0
2,565.5,84825.0
3,1172.499999996,175874.9999994
4,1136.200000002,170430.0000003
5,459.416666667,68912.50000005
6,3434.949999998,515242.4999997
7,4857.45,728617.5
8,8624.216666652,1293632.4999978
9,10745.233333333,1611784.9999999502
