user,year,month,input,flow
dulles,2007,MARCH,DULLES   -   S -110,26.95
dulles,2007,APRIL,DULLES   -   S -110,19.55
dulles,2007,MAY,DULLES   -   S -110,16.41
dulles,2007,JUNE,DULLES   -   S -110,20.02
dulles,2007,JULY,DULLES   -   S -110,15.94
dulles,2007,AUGUST,DULLES   -   S -110,19.50
dulles,2007,SEPTEMBER,DULLES   -   S -110,12.28
dulles,2007,OCTOBER,DULLES   -   S -110,15.07
dulles,2007,NOVEMBER,DULLES   -   S -110,15.61
dulles,2007,DECEMBER,DULLES   -   S -110,18.37
dulles,2008,JANUARY,DULLES   -   S -110,21.91
dulles,2008,FEBRUARY,DULLES   -   S -110,15.52
dulles,2008,MARCH,DULLES   -   S -110,16.08
dulles,2008,APRIL,DULLES   -   S -110,21.54
dulles,2008,MAY,DULLES   -   S -110,26.49
dulles,2008,JUNE,DULLES   -   S -110,25.78
dulles,2008,JULY,DULLES   -   S -110,37.70
dulles,2008,AUGUST,DULLES   -   S -110,26.62
dulles,2008,SEPTEMBER,DULLES   -   S -110,20.60
dulles,2008,OCTOBER,DULLES   -   S -110,20.85
dulles,2008,NOVEMBER,DULLES   -   S -110,16.77
dulles,2008,DECEMBER,DULLES   -   S -110,20.23
dulles,2009,JANUARY,DULLES   -   S -110,21.49
dulles,2009,FEBRUARY,DULLES   -   S -110,13.47
dulles,2009,MARCH,DULLES   -   S -110,12.33
dulles,2009,APRIL,DULLES   -   S -110,26.42
dulles,2009,MAY,DULLES   -   S -110,23.33
dulles,2009,JUNE,DULLES   -   S -110,26.48
dulles,2009,JULY,DULLES   -   S -110,29.91
dulles,2009,AUGUST,DULLES   -   S -110,26.19
dulles,2009,SEPTEMBER,DULLES   -   S -110,21.15
dulles,2009,OCTOBER,DULLES   -   S -110,30.89
dulles,2009,NOVEMBER,DULLES   -   S -110,23.69
dulles,2009,DECEMBER,DULLES   -   S -110,29.43
dulles,2010,JANUARY,DULLES   -   S -110,19.90
dulles,2010,FEBRUARY,DULLES   -   S -110,20.45
dulles,2010,MARCH,DULLES   -   S -110,28.07
dulles,2010,APRIL,DULLES   -   S -110,18.79
dulles,2010,MAY,DULLES   -   S -110,19.62
dulles,2010,JUNE,DULLES   -   S -110,21.49
dulles,2010,JULY,DULLES   -   S -110,21.24
dulles,2010,AUGUST,DULLES   -   S -110,25.45
dulles,2010,SEPTEMBER,DULLES   -   S -110,24.63
dulles,2010,OCTOBER,DULLES   -   S -110,25.45
dulles,2010,NOVEMBER,DULLES   -   S -110,24.63
dulles,2010,DECEMBER,DULLES   -   S -110,25.45
dulles,2011,JANUARY,DULLES   -   S -110,25.45
dulles,2011,FEBRUARY,DULLES   -   S -110,22.70
dulles,2011,MARCH,DULLES   -   S -110,31.82
dulles,2011,APRIL,DULLES   -   S -110,25.75
dulles,2011,MAY,DULLES   -   S -110,29.87
dulles,2011,JUNE,DULLES   -   S -110,22.58
dulles,2011,JULY,DULLES   -   S -110,22.98
dulles,2011,AUGUST,DULLES   -   S -110,30.60
dulles,2011,SEPTEMBER,DULLES   -   S -110,29.48
dulles,2011,OCTOBER,DULLES   -   S -110,25.65
dulles,2011,NOVEMBER,DULLES   -   S -110,28.94
dulles,2011,DECEMBER,DULLES   -   S -110,26.77
dulles,2012,JANUARY,DULLES   -   S -110,25.99
dulles,2012,FEBRUARY,DULLES   -   S -110,21.39
dulles,2012,MARCH,DULLES   -   S -110,20.58
dulles,2012,APRIL,DULLES   -   S -110,20.85
dulles,2012,MAY,DULLES   -   S -110,33.44
dulles,2012,JUNE,DULLES   -   S -110,22.90
dulles,2012,JULY,DULLES   -   S -110,30.32
dulles,2012,AUGUST,DULLES   -   S -110,25.56
dulles,2012,SEPTEMBER,DULLES   -   S -110,20.65
dulles,2012,OCTOBER,DULLES   -   S -110,30.56
dulles,2012,NOVEMBER,DULLES   -   S -110,19.14
dulles,2012,DECEMBER,DULLES   -   S -110,22.42
dulles,2013,JANUARY,DULLES   -   S -110,27.80
dulles,2013,FEBRUARY,DULLES   -   S -110,21.75
