user,year,month,input,flow
vienna,2007,NOVEMBER,NORTHSIDE,11.17
vienna,2007,DECEMBER,NORTHSIDE,11.63
vienna,2008,JANUARY,NORTHSIDE,11.57
vienna,2008,FEBRUARY,NORTHSIDE,11.21
vienna,2008,MARCH,NORTHSIDE,12.34
vienna,2008,APRIL,NORTHSIDE,14.77
vienna,2008,MAY,NORTHSIDE,18.42
vienna,2008,JUNE,NORTHSIDE,13.68
vienna,2008,JULY,NORTHSIDE,12.10
vienna,2008,AUGUST,NORTHSIDE,11.06
vienna,2008,SEPTEMBER,NORTHSIDE,12.47
vienna,2008,OCTOBER,NORTHSIDE,11.36
vienna,2008,NOVEMBER,NORTHSIDE,10.80
vienna,2008,DECEMBER,NORTHSIDE,12.22
vienna,2009,JANUARY,NORTHSIDE,12.64
vienna,2009,FEBRUARY,NORTHSIDE,10.30
vienna,2009,MARCH,NORTHSIDE,12.33
vienna,2009,APRIL,NORTHSIDE,13.21
vienna,2009,MAY,NORTHSIDE,19.17
vienna,2009,JUNE,NORTHSIDE,16.69
vienna,2009,JULY,NORTHSIDE,12.93
vienna,2009,AUGUST,NORTHSIDE,12.30
vienna,2009,SEPTEMBER,NORTHSIDE,11.45
vienna,2009,OCTOBER,NORTHSIDE,13.20
vienna,2009,NOVEMBER,NORTHSIDE,14.39
vienna,2009,DECEMBER,NORTHSIDE,17.63
vienna,2010,JANUARY,NORTHSIDE,14.21
vienna,2010,FEBRUARY,NORTHSIDE,15.49
vienna,2010,MARCH,NORTHSIDE,21.44
vienna,2010,APRIL,NORTHSIDE,15.60
vienna,2010,MAY,NORTHSIDE,15.14
vienna,2010,JUNE,NORTHSIDE,12.17
vienna,2010,JULY,NORTHSIDE,12.42
vienna,2010,AUGUST,NORTHSIDE,10.13
vienna,2010,SEPTEMBER,NORTHSIDE,15.62
vienna,2010,OCTOBER,NORTHSIDE,13.47
vienna,2010,NOVEMBER,NORTHSIDE,12.63
vienna,2010,DECEMBER,NORTHSIDE,12.10
vienna,2011,JANUARY,NORTHSIDE,11.55
vienna,2011,FEBRUARY,NORTHSIDE,11.66
vienna,2011,MARCH,NORTHSIDE,15.29
vienna,2011,APRIL,NORTHSIDE,28.22
vienna,2011,MAY,NORTHSIDE,28.11
vienna,2011,JUNE,NORTHSIDE,11.37
vienna,2011,JULY,NORTHSIDE,16.34
vienna,2011,AUGUST,NORTHSIDE,16.17
vienna,2011,SEPTEMBER,NORTHSIDE,15.08
vienna,2011,OCTOBER,NORTHSIDE,14.06
vienna,2011,NOVEMBER,NORTHSIDE,13.24
vienna,2011,DECEMBER,NORTHSIDE,14.09
vienna,2012,JANUARY,NORTHSIDE,13.29
vienna,2012,FEBRUARY,NORTHSIDE,11.39
vienna,2012,MARCH,NORTHSIDE,13.29
vienna,2012,APRIL,NORTHSIDE,12.88
vienna,2012,MAY,NORTHSIDE,13.76
vienna,2012,JUNE,NORTHSIDE,12.02
vienna,2012,JULY,NORTHSIDE,11.69
vienna,2012,AUGUST,NORTHSIDE,10.71
vienna,2012,SEPTEMBER,NORTHSIDE,10.32
vienna,2012,OCTOBER,NORTHSIDE,10.50
vienna,2012,NOVEMBER,NORTHSIDE,10.12
vienna,2012,DECEMBER,NORTHSIDE,10.72
vienna,2013,JANUARY,NORTHSIDE,10.52
vienna,2013,FEBRUARY,NORTHSIDE,9.80
vienna,2013,MARCH,NORTHSIDE,11.57
vienna,2013,APRIL,NORTHSIDE,11.25
vienna,2013,MAY,NORTHSIDE,12.31
vienna,2013,JUNE,NORTHSIDE,12.94
vienna,2013,JULY,NORTHSIDE,12.19
vienna,2013,AUGUST,NORTHSIDE,12.65
vienna,2013,SEPTEMBER,NORTHSIDE,12.05
vienna,2013,OCTOBER,NORTHSIDE,14.14
vienna,2013,NOVEMBER,NORTHSIDE,12.34
vienna,2013,DECEMBER,NORTHSIDE,14.07
vienna,2014,JANUARY,NORTHSIDE,14.52
vienna,2014,FEBRUARY,NORTHSIDE,14.80
vienna,2014,MARCH,NORTHSIDE,16.98
vienna,2014,APRIL,NORTHSIDE,16.65
vienna,2014,MAY,NORTHSIDE,20.02
vienna,2014,JUNE,NORTHSIDE,16.77
vienna,2014,JULY,NORTHSIDE,14.83
vienna,2014,AUGUST,NORTHSIDE,15.04
vienna,2014,SEPTEMBER,NORTHSIDE,13.18
vienna,2014,OCTOBER,NORTHSIDE,14.73
vienna,2014,NOVEMBER,NORTHSIDE,15.56
vienna,2014,DECEMBER,NORTHSIDE,18.15
vienna,2015,JANUARY,NORTHSIDE,20.30
vienna,2015,FEBRUARY,NORTHSIDE,19.92
vienna,2015,MARCH,NORTHSIDE,26.99
vienna,2015,APRIL,NORTHSIDE,25.54
vienna,2015,MAY,NORTHSIDE,18.26
vienna,2015,JUNE,NORTHSIDE,22.13
vienna,2015,JULY,NORTHSIDE,14.45
vienna,2015,AUGUST,NORTHSIDE,12.52
vienna,2015,SEPTEMBER,NORTHSIDE,12.10
vienna,2015,OCTOBER,NORTHSIDE,12.85
vienna,2015,NOVEMBER,NORTHSIDE,12.09
vienna,2015,DECEMBER,NORTHSIDE,12.97
vienna,2016,JANUARY,NORTHSIDE,14.12
vienna,2016,FEBRUARY,NORTHSIDE,14.89
vienna,2016,MARCH,NORTHSIDE,13.54
vienna,2016,APRIL,NORTHSIDE,14.53
vienna,2016,MAY,NORTHSIDE,23.04
vienna,2016,JUNE,NORTHSIDE,21.79
vienna,2016,JULY,NORTHSIDE,19.01
vienna,2016,AUGUST,NORTHSIDE,16.17
vienna,2016,SEPTEMBER,NORTHSIDE,17.14
vienna,2016,OCTOBER,NORTHSIDE,14.32
vienna,2016,NOVEMBER,NORTHSIDE,16.14
vienna,2016,DECEMBER,NORTHSIDE,22.58
vienna,2017,JANUARY,NORTHSIDE,34.74
vienna,2017,FEBRUARY,NORTHSIDE,7.60
vienna,2017,MARCH,NORTHSIDE,8.65
vienna,2017,APRIL,NORTHSIDE,8.56
vienna,2017,MAY,NORTHSIDE,9.92
vienna,2017,JUNE,NORTHSIDE,7.99
vienna,2017,JULY,NORTHSIDE,8.65
vienna,2017,AUGUST,NORTHSIDE,8.40
vienna,2017,SEPTEMBER,NORTHSIDE,8.19
vienna,2017,OCTOBER,NORTHSIDE,8.78
vienna,2017,NOVEMBER,NORTHSIDE,8.67
vienna,2017,DECEMBER,NORTHSIDE,8.30
vienna,2018,JANUARY,NORTHSIDE,8.91
vienna,2018,FEBRUARY,NORTHSIDE,13.37
vienna,2018,MARCH,NORTHSIDE,14.83
vienna,2018,APRIL,NORTHSIDE,14.91
vienna,2018,MAY,NORTHSIDE,17.57
vienna,2018,JUNE,NORTHSIDE,16.91
vienna,2018,JULY,NORTHSIDE,16.11
vienna,2018,AUGUST,NORTHSIDE,17.65
vienna,2018,SEPTEMBER,NORTHSIDE,13.91
vienna,2018,OCTOBER,NORTHSIDE,11.92
vienna,2018,NOVEMBER,NORTHSIDE,13.72
vienna,2018,DECEMBER,NORTHSIDE,14.71
vienna,2019,JANUARY,NORTHSIDE,14.32
vienna,2019,FEBRUARY,NORTHSIDE,12.78
vienna,2019,MARCH,NORTHSIDE,15.35
vienna,2019,APRIL,NORTHSIDE,11.56
vienna,2019,MAY,NORTHSIDE,12.85
vienna,2019,JUNE,NORTHSIDE,9.77
vienna,2019,JULY,NORTHSIDE,10.15
vienna,2019,AUGUST,NORTHSIDE,9.82
vienna,2019,SEPTEMBER,NORTHSIDE,8.87
vienna,2019,OCTOBER,NORTHSIDE,9.87
vienna,2019,NOVEMBER,NORTHSIDE,9.25
vienna,2019,DECEMBER,NORTHSIDE,10.36
vienna,2020,JANUARY,NORTHSIDE,17.00
vienna,2020,FEBRUARY,NORTHSIDE,19.53
vienna,2020,MARCH,NORTHSIDE,19.36
vienna,2020,APRIL,NORTHSIDE,19.30
vienna,2020,MAY,NORTHSIDE,20.31
vienna,2020,JUNE,NORTHSIDE,18.97
vienna,2020,JULY,NORTHSIDE,19.13
vienna,2020,AUGUST,NORTHSIDE,20.18
vienna,2020,SEPTEMBER,NORTHSIDE,18.64
vienna,2020,OCTOBER,NORTHSIDE,18.59
vienna,2020,NOVEMBER,NORTHSIDE,19.38
vienna,2020,DECEMBER,NORTHSIDE,22.30
vienna,2021,JANUARY,NORTHSIDE,21.37
vienna,2021,FEBRUARY,NORTHSIDE,20.43
