"station","report_year","annual_flow"
"Main ",2023,47.97809719370294
"O Street",2023,4.155756331279945
"Eastside",2023,5.398247775496236
"Poplar Point ",2023,7.760383299110199
"Potomac",2023,111.64550308008214
"Rock Creek",2023,3.2199041752224504
"Upper Anacostia",2023,1.2039425051334702
"Earl Place",2023,0.01054072553045859
