wssc,2007,JULY,MD. UPI,270.011
wssc,2007,AUGUST,MD. UPI,259.418
wssc,2007,SEPTEMBER,MD. UPI,277.994
wssc,2007,OCTOBER,MD. UPI,283.196
wssc,2007,NOVEMBER,MD. UPI,236.998
wssc,2007,DECEMBER,MD. UPI,233.85
wssc,2008,JANUARY,MD. UPI,250.982
wssc,2008,FEBRUARY,MD. UPI,277.29
wssc,2008,MARCH,MD. UPI,267.502
wssc,2008,APRIL,MD. UPI,279.399
wssc,2008,MAY,MD. UPI,315.77
wssc,2008,JUNE,MD. UPI,283.99
wssc,2008,JULY,MD. UPI,252.184
wssc,2008,AUGUST,MD. UPI,200.505
wssc,2008,SEPTEMBER,MD. UPI,229.9
wssc,2008,OCTOBER,MD. UPI,244.65
wssc,2008,NOVEMBER,MD. UPI,237.027
wssc,2008,DECEMBER,MD. UPI,258.13
wssc,2009,JANUARY,MD. UPI,257.684
wssc,2009,FEBRUARY,MD. UPI,218.28
wssc,2009,MARCH,MD. UPI,261.94
wssc,2009,APRIL,MD. UPI,267.916
wssc,2009,MAY,MD. UPI,295.759
wssc,2009,JUNE,MD. UPI,289.067
wssc,2009,JULY,MD. UPI,251.378
wssc,2009,AUGUST,MD. UPI,262.413
wssc,2009,SEPTEMBER,MD. UPI,253.21
wssc,2009,OCTOBER,MD. UPI,272.262
wssc,2009,NOVEMBER,MD. UPI,288.83
wssc,2009,DECEMBER,MD. UPI,350.744
wssc,2010,JANUARY,MD. UPI,343.105
wssc,2010,FEBRUARY,MD. UPI,307.879
wssc,2010,MARCH,MD. UPI,294.965
wssc,2010,APRIL,MD. UPI,293.254
wssc,2010,MAY,MD. UPI,270.01
wssc,2010,JUNE,MD. UPI,260.476
wssc,2010,JULY,MD. UPI,255.088
wssc,2010,AUGUST,MD. UPI,310.022
wssc,2010,SEPTEMBER,MD. UPI,247.891
wssc,2010,OCTOBER,MD. UPI,274.959
wssc,2010,NOVEMBER,MD. UPI,253.851
wssc,2010,DECEMBER,MD. UPI,242.031
wssc,2011,JANUARY,MD. UPI,273.38
wssc,2011,FEBRUARY,MD. UPI,250.544
wssc,2011,MARCH,MD. UPI,325.371
wssc,2011,APRIL,MD. UPI,305.165
wssc,2011,MAY,MD. UPI,297.146
