ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
,manhole,53.8,39.04450216,-77.42226012,,,,,53.8,53,66,0.00065,3174,RCP,Round,43774,40510,2
,manhole,54,39.0400528,-77.42772904,,,,,54,53.8,66,0.00065,2245,RCP,Round,46010,43774,2
,manhole,55,39.03511689,-77.43377135,,,,,55,54,66,0.0005,2485,RCP,Round,48502,46010,2
,manhole,56,39.03162914,-77.4346982,,,,,56,55,54,0.0006,1297,RCP,Round,49802,48502,2/11
,manhole,57,39.02839399,-77.43668593,,,,,57,56,54,0.00069,1307,RCP,Round,51108,49802,11
,manhole,58,39.02547855,-77.43861863,,,,,58,57,54,0.00061,1195,RCP,Round,52300,51108,11
,manhole,59,39.02338276,-77.44079589,,,,,59,58,48,0.00082,982,RCP,Round,53290,52300,11
,manhole,60,39.01932117,-77.44467874,,,,,60,59,48,0.00082,1845,RCP,Round,54290,53290,11
,manhole,61,39.0190756,-77.44517871,,,,,61,60,48,0.0005,168,RCP,Round,55292,54290,11
,manhole,62,39.01691743,-77.44679705,,,,,62,61,48,0.0005,911,RCP,Round,56206,55292,11
,manhole,63,39.01449216,-77.44845709,,,,,63,62,48,0.00113,1001,RCP,Round,57207,56206,11
,manhole,64,39.01206275,-77.45011947,,,,,64,63,48,0.00087,1003,RCP,Round,58210,57207,11
,manhole,65,39.01006819,-77.45196384,,,,,65,64,48,0.00087,896,RCP,Round,59104,58210,11
,manhole,66,39.00827418,-77.45425081,,,,,66,65,48,0.00087,922,RCP,Round,60028,59104,11
,manhole,67,39.00647769,-77.45653424,,,,,67,66,48,0.00087,921,RCP,Round,60962,60028,11
,manhole,68,39.00623025,-77.45980826,,,,,68,67,48,0.00087,935,RCP,Round,61908,60962,11
,manhole,68.8,39.00621992,-77.46014959,,,,,68.8,68,48,0.00087,97,RCP,Round,62005,61908,11
,manhole,68.81,39.00550267,-77.46094027,,,,,68.81,68.8,48,0.00087,345,RCP,Round,62393,62005,11
,manhole,69,39.00435713,-77.46160319,,,,,69,68.81,48,0.00087,458,RCP,Round,62854,62393,11
,manhole,70,39.00185504,-77.46306661,,,,,70,69,48,0.00087,1002,RCP,Round,63855,62854,11
,manhole,71,38.9994421,-77.46400299,,,,,71,70,48,0.00087,938,RCP,Round,64793,63855,11
,manhole,72,38.99664838,-77.46393069,,,,,72,71,48,0.00087,1018,RCP,Round,65811,64793,11
,manhole,73,38.99533936,-77.46433667,,,,,73,72,42,0.00021,490,RCP,Round,66304,65811,11
,manhole,73.8,38.99522247,-77.46438842,,,,,73.8,73,42,0.00021,45,RCP,Round,66350,66304,11
,manhole,74,38.99376536,-77.46481104,,,,,74,73.8,42,0.00021,544,RCP,Round,66900,66350,11/5
