TagName,DateTime,Value,Unit
PI1995_Level.PV,12/16/2023 11:09,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:09,3.967499971,ft
PI1995_Level.PV,12/16/2023 11:09,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:09,3.969000101,ft
PI1995_Level.PV,12/16/2023 11:10,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:10,3.971999884,ft
PI1995_Level.PV,12/16/2023 11:10,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:10,3.96600008,ft
PI1995_Level.PV,12/16/2023 11:10,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:10,3.958499908,ft
PI1995_Level.PV,12/16/2023 11:10,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:10,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:10,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:10,3.957000017,ft
PI1995_Level.PV,12/16/2023 11:10,3.957000017,ft
PI1995_Level.PV,12/16/2023 11:10,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:11,3.950999975,ft
PI1995_Level.PV,12/16/2023 11:11,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:11,3.947999954,ft
PI1995_Level.PV,12/16/2023 11:11,3.947999954,ft
PI1995_Level.PV,12/16/2023 11:11,3.952500105,ft
PI1995_Level.PV,12/16/2023 11:11,3.963000059,ft
PI1995_Level.PV,12/16/2023 11:11,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:11,3.950999975,ft
PI1995_Level.PV,12/16/2023 11:11,3.947999954,ft
PI1995_Level.PV,12/16/2023 11:11,3.938999891,ft
PI1995_Level.PV,12/16/2023 11:11,3.946500063,ft
PI1995_Level.PV,12/16/2023 11:11,3.958499908,ft
PI1995_Level.PV,12/16/2023 11:12,3.974999905,ft
PI1995_Level.PV,12/16/2023 11:12,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:12,3.96600008,ft
PI1995_Level.PV,12/16/2023 11:12,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:12,3.974999905,ft
PI1995_Level.PV,12/16/2023 11:12,3.971999884,ft
PI1995_Level.PV,12/16/2023 11:12,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:12,3.977999926,ft
PI1995_Level.PV,12/16/2023 11:12,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:12,3.979500055,ft
PI1995_Level.PV,12/16/2023 11:12,3.985500097,ft
PI1995_Level.PV,12/16/2023 11:12,3.980999947,ft
PI1995_Level.PV,12/16/2023 11:13,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:13,3.96600008,ft
PI1995_Level.PV,12/16/2023 11:13,3.967499971,ft
PI1995_Level.PV,12/16/2023 11:13,3.957000017,ft
PI1995_Level.PV,12/16/2023 11:13,3.96449995,ft
PI1995_Level.PV,12/16/2023 11:13,3.953999996,ft
PI1995_Level.PV,12/16/2023 11:13,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:13,3.944999933,ft
PI1995_Level.PV,12/16/2023 11:13,3.944999933,ft
PI1995_Level.PV,12/16/2023 11:13,3.943500042,ft
PI1995_Level.PV,12/16/2023 11:13,3.950999975,ft
PI1995_Level.PV,12/16/2023 11:13,3.961499929,ft
PI1995_Level.PV,12/16/2023 11:14,3.958499908,ft
PI1995_Level.PV,12/16/2023 11:14,3.953999996,ft
PI1995_Level.PV,12/16/2023 11:14,3.953999996,ft
PI1995_Level.PV,12/16/2023 11:14,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:14,3.958499908,ft
PI1995_Level.PV,12/16/2023 11:14,3.947999954,ft
PI1995_Level.PV,12/16/2023 11:14,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:14,3.953999996,ft
PI1995_Level.PV,12/16/2023 11:14,3.953999996,ft
PI1995_Level.PV,12/16/2023 11:14,3.957000017,ft
PI1995_Level.PV,12/16/2023 11:14,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:14,3.96600008,ft
PI1995_Level.PV,12/16/2023 11:15,3.967499971,ft
PI1995_Level.PV,12/16/2023 11:15,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:15,3.96600008,ft
PI1995_Level.PV,12/16/2023 11:15,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:15,3.970499992,ft
PI1995_Level.PV,12/16/2023 11:15,3.976500034,ft
PI1995_Level.PV,12/16/2023 11:15,3.955499887,ft
PI1995_Level.PV,12/16/2023 11:15,3.960000038,ft
PI1995_Level.PV,12/16/2023 11:15,3.963000059,ft
